v,h
4.064178,46m
4.356236,46m
5.420437,46m
5.648169,46m
5.568686,46m
5.916308,46m
6.325716,46m
6.185054,46m
5.97812,46m
5.472182,46m
5.985673,46m
6.827836,46m
7.404448,46m
7.193129,46m
6.806391,46m
7.182403,46m
7.166002,46m
7.435997,46m
7.521769,46m
7.480789,46m
7.796146,46m
7.987284,46m
7.335052,46m
6.299843,46m
6.325705,46m
6.254421,46m
6.766628,46m
6.461987,46m
5.892313,46m
5.589524,46m
5.211022,46m
4.808546,46m
5.545982,46m
4.967516,46m
4.691205,46m
5.003467,46m
5.48038,46m
5.258355,46m
4.717066,46m
4.482409,46m
4.607928,46m
4.79971,46m
4.873523,46m
4.713289,46m
5.055935,46m
5.626081,46m
5.450736,46m
4.835024,46m
4.393461,46m
5.44317,46m
6.499174,46m
7.384886,46m
7.359663,46m
6.940104,46m
7.041716,46m
7.062525,46m
6.836651,46m
6.795018,46m
6.842974,46m
6.758423,46m
6.747071,46m
7.13824,46m
7.646663,46m
7.478892,46m
7.545104,46m
7.572883,46m
7.586735,46m
7.962047,46m
7.810033,46m
7.439787,46m
6.802591,46m
6.323209,46m
5.984429,46m
6.32004,46m
5.613491,46m
5.70937,46m
5.675936,46m
5.761082,46m
5.916923,46m
5.98001,46m
6.382488,46m
7.247346,46m
7.888258,46m
7.66813,46m
6.301108,46m
5.69171,46m
4.74041,46m
4.769433,46m
4.617402,46m
5.085488,46m
5.132164,46m
4.48115,46m
3.919076,46m
3.931051,46m
4.131665,46m
4.561261,46m
4.48934,46m
4.528452,46m
4.150581,46m
3.628247,46m
3.939257,46m
3.825703,46m
3.994771,46m
3.603019,46m
3.695752,46m
3.631404,46m
4.107058,46m
5.317631,46m
6.500443,46m
7.777248,46m
7.625842,46m
7.751384,46m
8.376539,46m
8.379686,46m
8.567677,46m
8.377805,46m
8.526677,46m
7.598726,46m
9.248983,46m
9.099472,46m
8.086355,46m
8.140605,46m
7.85737,46m
9.179589,46m
9.186534,46m
9.079915,46m
8.539298,46m
7.693974,46m
7.032239,46m
7.046752,46m
6.689703,46m
5.902418,46m
5.827349,46m
6.472693,46m
6.473956,46m
6.475212,46m
6.056343,46m
6.753413,46m
7.505994,46m
7.936843,46m
8.923473,46m
9.392189,46m
11.31307,46m
10.83362,46m
9.805371,46m
10.36367,46m
9.219972,46m
9.696237,46m
8.978357,46m
8.713406,46m
8.698266,46m
8.531724,46m
9.329726,46m
9.976955,46m
9.141745,46m
8.403039,46m
8.934817,46m
9.883609,46m
10.45576,46m
11.14464,46m
8.651581,46m
8.627612,46m
8.717826,46m
8.955019,46m
8.416282,46m
8.331751,46m
8.278756,46m
9.296922,46m
10.57372,46m
11.27522,46m
11.33138,46m
11.56795,46m
11.86822,46m
11.15917,46m
11.08723,46m
11.32761,46m
10.9863,46m
11.35976,46m
11.64742,46m
10.60274,46m
9.839458,46m
8.734844,46m
9.209245,46m
9.308934,46m
9.055334,46m
8.87492,46m
9.062278,46m
9.456538,46m
9.719682,46m
9.142989,46m
9.218095,46m
9.476733,46m
9.146795,46m
9.35371,46m
8.890661,46m
8.365182,46m
9.05848,46m
9.357485,46m
9.89306,46m
10.11511,46m
10.41854,46m
10.58508,46m
9.94163,46m
9.636949,46m
9.790865,46m
9.351809,46m
8.847137,46m
8.704571,46m
7.89711,46m
8.234599,46m
8.860382,46m
9.481131,46m
9.467251,46m
8.724133,46m
8.261105,46m
8.608684,46m
8.368344,46m
8.174047,46m
9.234469,46m
9.236362,46m
8.76513,46m
9.066665,46m
9.02062,46m
9.020622,46m
8.285066,46m
7.786711,46m
7.037283,46m
7.570973,46m
8.533618,46m
9.145527,46m
8.523521,46m
8.85976,46m
8.746842,46m
8.656623,46m
8.994131,46m
9.812323,46m
9.428776,46m
9.160033,46m
9.35622,46m
10.7838,46m
11.28026,46m
10.90618,46m
10.72829,46m
10.77686,46m
9.725257,46m
10.55165,46m
10.64123,46m
10.60213,46m
10.27534,46m
10.60401,46m
11.50673,46m
12.17982,46m
11.74645,46m
11.17491,46m
10.07222,46m
9.641355,46m
9.806005,46m
10.47784,46m
9.145532,46m
6.848667,46m
7.624588,46m
8.479995,46m
9.720215,46m
9.298193,46m
8.80425,46m
9.217434,46m
9.715796,46m
9.285569,46m
8.174045,46m
8.663566,46m
8.855968,46m
9.728407,46m
9.500052,46m
8.878675,46m
8.828849,46m
8.663577,46m
8.239655,46m
7.950724,46m
8.092035,46m
6.557223,46m
7.529962,46m
6.533879,46m
7.729939,46m
6.841098,46m
8.052296,46m
8.473057,46m
8.962585,46m
8.522891,46m
7.133801,46m
5.539691,46m
6.103648,46m
7.735611,46m
7.852319,46m
8.364554,46m
9.846393,46m
9.811685,46m
10.11448,46m
11.2134,46m
11.05821,46m
11.57739,46m
11.68399,46m
11.92371,46m
12.61194,46m
11.67264,46m
10.8923,46m
10.48984,46m
10.72451,46m
11.1175,46m
11.32947,46m
11.34146,46m
11.50674,46m
11.94768,46m
11.4304,46m
11.32126,46m
12.17792,46m
12.70846,46m
11.0437,46m
10.86517,46m
10.34032,46m
10.17568,46m
9.636312,46m
9.586481,46m
10.7491,46m
9.968123,46m
10.62671,46m
10.4053,46m
10.49046,46m
10.3807,46m
9.595933,46m
10.79515,46m
11.56603,46m
11.76284,46m
11.47267,46m
11.38688,46m
10.85634,46m
9.86278,46m
9.464725,46m
9.491219,46m
9.84953,46m
9.891169,46m
10.22487,46m
10.50244,46m
9.797805,46m
9.872873,46m
10.75037,46m
11.3036,46m
11.16608,46m
10.73018,46m
9.993361,46m
9.054054,46m
8.273082,46m
8.33616,46m
8.426376,46m
8.875525,46m
8.780903,46m
9.508252,46m
9.586476,46m
9.703175,46m
9.627477,46m
10.01102,46m
9.794023,46m
9.5726,46m
10.08609,46m
10.00913,46m
10.22678,46m
9.912613,46m
9.035764,46m
8.374649,46m
7.593044,46m
7.499054,46m
9.050276,46m
10.76803,46m
9.587742,46m
9.229438,46m
8.938609,46m
8.473689,46m
7.924242,46m
8.163948,46m
8.158273,46m
8.242801,46m
8.256678,46m
8.101493,46m
7.982899,46m
8.271188,46m
9.233845,46m
9.301972,46m
9.913873,46m
10.26273,46m
10.16684,46m
9.763104,46m
9.794016,46m
9.975698,46m
9.207973,46m
8.865437,46m
9.230688,46m
